folio,fecha,hora,municipio,coordinacion,incidente,nivel_revision,puntaje,num_indicadores,indicadores,accion_sugerida,latitud,longitud
ECA26072602111,2026-07-26,06:43:00,ECATEPEC,ECATEPEC,SUICIDIO,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.627425,-99.06028
ECA26072602351,2026-07-26,08:02:00,CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.67672,-99.25729
ECA26072602481,2026-07-26,08:31:00,ZUMPANGO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.87491,-99.09194
ECA26072602694,2026-07-26,09:05:00,TLALNEPANTLA,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.537615,-99.11883
ECA26072603303,2026-07-26,10:36:00,CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.62887,-99.23778
ECA26072603507,2026-07-26,10:59:00,TEMAMATLA,SIN CATALOGAR,HOMICIDIO,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.22201,-98.914705
ECA26072603636,2026-07-26,11:14:00,APAXCO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,2,Sangrado o lesiones visibles descritas | Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.974293,-99.169744
ECA26072604107,2026-07-26,12:03:00,TULTITLAN,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.614715,-99.138205
ECA26072604548,2026-07-26,12:46:00,ATIZAPAN,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.59591,-99.24783
ECA26072604863,2026-07-26,13:20:00,NEXTLALPAN,SIN CATALOGAR,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.704916,-99.071542
ECA26072604930,2026-07-26,13:26:00,CHALCO,CHALCO,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.25815,-98.916925
TOL26072205080,2026-07-22,16:09:00,METEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.273705,-99.58121
TOL26072205682,2026-07-22,17:21:00,TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.27818,-99.67186
TOL26072206203,2026-07-22,18:21:00,LERMA,SIN CATALOGAR,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.281378,-99.516305
TOL26072206220,2026-07-22,18:24:00,LERMA,SIN CATALOGAR,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.28136,-99.51444
TOL26072207003,2026-07-22,19:52:00,METEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.27065,-99.62678
TOL26072207683,2026-07-22,21:13:00,TENANGO DEL VALLE,IXTAPAN,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.111223,-99.648774
ECA26072206045,2026-07-22,16:29:00,TECAMAC,ECATEPEC,TENTATIVA DE SUICIDIO,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.64507,-99.0178
ECA26072206678,2026-07-22,17:48:00,TEOLOYUCAN,SIN CATALOGAR,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.74691,-99.168775
ECA26072207516,2026-07-22,19:18:00,CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.65523,-99.21083
ECA26072208370,2026-07-22,21:15:00,TECAMAC,ECATEPEC,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.670255,-98.958145
ECA26072208534,2026-07-22,21:40:00,TECAMAC,ECATEPEC,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.670255,-98.958145
TOL26072605211,2026-07-26,16:16:00,TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.249725,-99.69428
TOL26072606132,2026-07-26,18:22:00,TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.32438,-99.62164
TOL26072606194,2026-07-26,18:31:00,TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,2,Sangrado o lesiones visibles descritas | Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.32067,-99.62587
TOL26072606215,2026-07-26,18:34:00,JILOTEPEC,ATLACOMULCO,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,20.058882,-99.637558
TOL26072608002,2026-07-26,22:12:00,OCUILAN,IXTAPAN,HOMICIDIO,BAJA,0,2,Hecho ocurrido en franja nocturna (22:00-06:00) | Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.022025,-99.463792
ECA26072606218,2026-07-26,15:47:00,IXTAPALUCA,CHALCO,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.38394,-98.844455
ECA26072607843,2026-07-26,19:14:00,ZUMPANGO,ECATEPEC,TENTATIVA DE SUICIDIO,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.80384,-99.01061
ECA26072608038,2026-07-26,19:35:00,CHIMALHUACAN,ORIENTE,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.4176,-98.961915
ECA26072609083,2026-07-26,21:57:00,TLALNEPANTLA,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.535585,-99.233145
TOL26072701775,2026-07-27,08:56:00,TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.33599,-99.68246
TOL26072702185,2026-07-27,10:03:00,LERMA,SIN CATALOGAR,TENTATIVA DE SUICIDIO,BAJA,0,2,Sin coordenada válida: no verificable en campo | Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,,
TOL26072702243,2026-07-27,10:12:00,TOLUCA,VALLE TOLUCA,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.31264,-99.577205
TOL26072703977,2026-07-27,13:38:00,SAN JOSE DEL RINCON,VALLE DE BRAVO,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.6624,-100.155046
TOL26072704436,2026-07-27,14:35:00,ZINACANTEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.245915,-99.75803
ECA26072701320,2026-07-27,06:19:00,TEOTIHUACAN,ORIENTE,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.677535,-98.846215
ECA26072701492,2026-07-27,07:04:00,TECAMAC,ECATEPEC,AMENAZA DE SUICIDIO,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.63415,-99.04761
ECA26072702943,2026-07-27,10:43:00,ATIZAPAN,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.59591,-99.24783
ECA26072703049,2026-07-27,10:58:00,ZUMPANGO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.819805,-99.149605
ECA26072703084,2026-07-27,11:03:00,ECATEPEC,ECATEPEC,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.517535,-99.017775
ECA26072704039,2026-07-27,12:42:00,NICOLAS ROMERO,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.61723,-99.335235
ECA26072704047,2026-07-27,12:43:00,NICOLAS ROMERO,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.61723,-99.335235
ECA26072704122,2026-07-27,12:51:00,VALLE DE CHALCO,CHALCO,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,2,"Persona sin signos vitales al arribo | Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.289905,-98.92147
ECA26072704391,2026-07-27,13:19:00,COACALCO DE BERRIOZABAL,ECATEPEC,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.632535,-99.083258
ECA26072704768,2026-07-27,14:03:00,ATIZAPAN,METROPOLITANA,TENTATIVA DE SUICIDIO,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.5365,-99.239765
TOL26072705811,2026-07-27,17:38:00,ZINACANTEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,1,"Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.2914,-99.71172
TOL26072705890,2026-07-27,17:49:00,JOCOTITLAN,ATLACOMULCO,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.756712,-99.921237
TOL26072706586,2026-07-27,19:20:00,JILOTEPEC,ATLACOMULCO,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.94063,-99.594484
TOL26072706661,2026-07-27,19:29:00,SAN MATEO ATENCO,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,3,"Sangrado o lesiones visibles descritas | Atención médica documentada con persona consciente | Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.26012,-99.52554
TOL26072706949,2026-07-27,20:06:00,OCOYOACAC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,3,"Sangrado o lesiones visibles descritas | Atención médica documentada con persona consciente | Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.275745,-99.45855
TOL26072707211,2026-07-27,20:36:00,OTZOLOTEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,3,"A menos de 1 km y ±6 h de otro reporte por arma de fuego | Atención médica documentada con persona consciente | Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.410774,-99.558292
TOL26072707822,2026-07-27,21:46:00,TEXCALYACAC,SIN CATALOGAR,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.132705,-99.505622
ECA26072707113,2026-07-27,18:50:00,CHALCO,CHALCO,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.28001,-98.88533
ECA26072707406,2026-07-27,19:22:00,TEQUIXQUIAC,SIN CATALOGAR,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,1,Atención médica documentada con persona consciente,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.89607,-99.120842
ECA26072707450,2026-07-27,19:27:00,LA PAZ,ORIENTE,PERSONA NO LOCALIZADA O DESAPARECIDA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.37505,-98.940355
ECA26072707687,2026-07-27,20:04:00,ECATEPEC,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,3,"A menos de 1.5 km de un homicidio doloso corroborado de julio | Atención médica documentada con persona consciente | Estado etílico referido, patrón habitual de persona tirada",Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.59782,-99.00203
ECA26072708619,2026-07-27,21:56:00,LA PAZ,ORIENTE,PERSONA TIRADA EN VIA PUBLICA,BAJA,0,0,,Mantener en seguimiento estadístico; sin elementos para reclasificar.,19.357905,-98.968165
