folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
TOL26072302315,2026-07-23,11:10:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.28823,-99.65564,COORDENADA
TOL26072302321,2026-07-23,11:11:00,11,matutina (06-14),SAN JOSE DEL RINCON,VALLE DE BRAVO,VIOLENCIA FAMILIAR,violencia_genero,2.0,,,ALTA
TOL26072302340,2026-07-23,11:14:00,11,matutina (06-14),METEPEC,VALLE TOLUCA,ROBO DE MOTOCICLETA CON VIOLENCIA,robo_violento,2.0,19.233195,-99.63093,COORDENADA
TOL26072302363,2026-07-23,11:17:00,11,matutina (06-14),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.44226,-99.25305,COORDENADA
TOL26072302395,2026-07-23,11:20:00,11,matutina (06-14),NAUCALPAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.45333,-99.24257,COORDENADA
TOL26072302401,2026-07-23,11:21:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.24692,-99.66078,COORDENADA
TOL26072302414,2026-07-23,11:22:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.24363,-99.680275,COORDENADA
TOL26072302500,2026-07-23,11:31:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.291499,-99.644491,COORDENADA
TOL26072302517,2026-07-23,11:34:00,11,matutina (06-14),METEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.26227,-99.59648,COORDENADA
TOL26072302526,2026-07-23,11:34:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,ROBO A TRANSEUNTE CON VIOLENCIA,robo_violento,2.0,19.3532,-99.57617,COORDENADA
TOL26072302556,2026-07-23,11:38:00,11,matutina (06-14),OTZOLOAPAN,VALLE DE BRAVO,PERSONA AGRESIVA,rina,1.5,19.114285,-100.302752,COORDENADA
TOL26072302611,2026-07-23,11:45:00,11,matutina (06-14),ZINACANTEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.284785,-99.828025,COORDENADA
TOL26072302652,2026-07-23,11:49:00,11,matutina (06-14),XALATLACO,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.176998,-99.42362,COORDENADA
TOL26072302688,2026-07-23,11:54:00,11,matutina (06-14),TOLUCA,VALLE TOLUCA,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.36417,-99.673265,COORDENADA
TOL26072302708,2026-07-23,11:57:00,11,matutina (06-14),NAUCALPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.47394,-99.23751,COORDENADA
TOL26072302904,2026-07-23,12:22:00,12,matutina (06-14),METEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.275365,-99.596635,COORDENADA
TOL26072302908,2026-07-23,12:22:00,12,matutina (06-14),METEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.2597,-99.6257,COORDENADA
TOL26072302918,2026-07-23,12:23:00,12,matutina (06-14),ALMOLOYA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.369973,-99.758279,COORDENADA
TOL26072302960,2026-07-23,12:28:00,12,matutina (06-14),NAUCALPAN,METROPOLITANA,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.491057,-99.231438,COORDENADA
TOL26072303002,2026-07-23,12:33:00,12,matutina (06-14),ALMOLOYA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,,,ALTA
TOL26072303048,2026-07-23,12:36:00,12,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.221027,-99.659511,COORDENADA
TOL26072303065,2026-07-23,12:38:00,12,matutina (06-14),METEPEC,VALLE TOLUCA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.26127,-99.60027,COORDENADA
TOL26072303118,2026-07-23,12:43:00,12,matutina (06-14),TEMOAYA,VALLE TOLUCA,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.436634,-99.634568,COORDENADA
TOL26072303166,2026-07-23,12:47:00,12,matutina (06-14),TOLUCA,VALLE TOLUCA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.344595,-99.64724,COORDENADA
TOL26072303225,2026-07-23,12:53:00,12,matutina (06-14),VILLA DEL CARBON,ATLACOMULCO,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.79741,-99.455731,COORDENADA
TOL26072303334,2026-07-23,13:03:00,13,matutina (06-14),TENANGO DEL VALLE,IXTAPAN,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.113719,-99.589905,COORDENADA
TOL26072303382,2026-07-23,13:09:00,13,matutina (06-14),ACAMBAY,ATLACOMULCO,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.912719,-99.78453,COORDENADA
TOL26072303434,2026-07-23,13:14:00,13,matutina (06-14),ALMOLOYA,VALLE TOLUCA,ALTERACION DEL ORDEN PUBLICO POR PERSONA DROGADA,rina,1.5,19.294713,-99.769683,COORDENADA
TOL26072303481,2026-07-23,13:19:00,13,matutina (06-14),SAN MATEO ATENCO,VALLE TOLUCA,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.27844,-99.54813,COORDENADA
TOL26072303541,2026-07-23,13:25:00,13,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.31124,-99.63836,COORDENADA
TOL26072303550,2026-07-23,13:25:00,13,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.318445,-99.63607,COORDENADA
TOL26072303765,2026-07-23,13:48:00,13,matutina (06-14),NAUCALPAN,METROPOLITANA,RIÑA,rina,1.5,19.46665,-99.27961,COORDENADA
TOL26072303770,2026-07-23,13:49:00,13,matutina (06-14),OTZOLOTEPEC,VALLE TOLUCA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.421447,-99.578831,COORDENADA
TOL26072303791,2026-07-23,13:51:00,13,matutina (06-14),METEPEC,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.26195,-99.59686,COORDENADA
TOL26072303815,2026-07-23,13:54:00,13,matutina (06-14),TOLUCA,VALLE TOLUCA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.31264,-99.577205,COORDENADA
TOL26072303836,2026-07-23,13:56:00,13,matutina (06-14),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.30996,-99.624065,COORDENADA
TOL26072303864,2026-07-23,14:00:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.306505,-99.631575,COORDENADA
TOL26072303869,2026-07-23,14:01:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.24363,-99.680275,COORDENADA
TOL26072303916,2026-07-23,14:06:00,14,vespertina (14-22),METEPEC,VALLE TOLUCA,VIOLENCIA DE PAREJA,violencia_genero,2.0,,,ALTA
TOL26072303958,2026-07-23,14:12:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.296475,-99.68344,COORDENADA
TOL26072303964,2026-07-23,14:13:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.26337,-99.67958,COORDENADA
TOL26072303976,2026-07-23,14:14:00,14,vespertina (14-22),TOLUCA,VALLE TOLUCA,PERSONA AGRESIVA,rina,1.5,19.293105,-99.63406,COORDENADA
